Company Name,Internship Title,Sector,Area/Field,No. of Opportunities,Location,State/UT,District,Village,ZIP/Postal Code,Minimum Qualification,Course,Specialization,Certification(s),Preferred Skill(s),Qualification Description,Benefits,Benefits Description,Description,Candidates Already Applied
Swiggy,Digital Marketing Intern,Technology,Hotel Management,2,Coimbatore,Tamil Nadu,Coimbatore,Pollachi,642001,12th Pass,10th Pass,Biotechnology,Tally Certification,"Research, documentation",Only candidates with specified qualification (10th/12th/Diploma/UG) may apply.,"Stipend of ₹16,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"In this Digital Marketing Intern, you will participate in project cycles, data analysis, and stakeholder communications in Hotel Management.",11
Myntra,Software Development Intern,Manufacturing,Data Science,5,Dehradun,Uttarakhand,Dehradun,Mussoorie,248001,Undergraduate,Bachelor of Hotel Management,Accounting,Google Analytics Certificate,"Excel, problem-solving",Open to candidates meeting minimum qualification; no postgraduates.,"Stipend of ₹19,000; travel reimbursement.",Mentorship program and soft skills training.,"Join as Software Development Intern in the Data Science department to assist in testing, documentation, and process improvements.",17
Godrej,Software Development Intern,Healthcare,Social Work,10,Dausa,Rajasthan,Dausa,Lalsot,303511,Diploma,Bachelor of Design,Computer Science Engineering,Communication Skills Certificate,"Research, documentation",Applicants with minimum qualification can apply; PGs excluded.,"Stipend of ₹26,000; travel reimbursement.",Professional development sessions and certificate on completion.,"As a Software Development Intern, you will support social work tasks, perform data collection and reporting, and engage with team meetings.",20
Hero MotoCorp,Software Development Intern,Agriculture,Graphic Design,2,Coimbatore,Tamil Nadu,Coimbatore,Pollachi,642001,Undergraduate,BBA,Business Analytics,Adobe Certified Associate,"Laboratory techniques, safety",Candidates meeting the minimum qualification (10th/12th/Diploma/UG) eligible.,"Stipend of ₹11,000; travel reimbursement.",Professional development sessions and certificate on completion.,"The Software Development Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",19
Apple India,Finance Analyst Intern,Hospitality,Graphic Design,4,Shimoga,Karnataka,Shimoga,Bhadravati,577301,Diploma,Bachelor of Journalism,Graphic Design,Tally Certification,"Event planning, coordination",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹7,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"The Finance Analyst Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",17
Unacademy,Data Analyst Intern,Agriculture,Hotel Management,10,Indore,Madhya Pradesh,Indore,Dewas,452001,Undergraduate,BBA,Business Analytics,Leadership Training Certificate,"Customer service, MS Office",Applicants with minimum qualification can apply; PGs excluded.,"Stipend of ₹28,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"In this Data Analyst Intern, you will participate in project cycles, data analysis, and stakeholder communications in Hotel Management.",18
Cisco Systems India,Finance Analyst Intern,Research,Computer Science,10,Trichy,Tamil Nadu,Tiruchirappalli,Srirangam,620001,10th Pass,B.A.,Hotel Management,Hospitality Management Certificate,"Event planning, coordination",Candidates meeting the minimum qualification (10th/12th/Diploma/UG) eligible.,"Stipend of ₹21,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"In this Finance Analyst Intern, you will participate in project cycles, data analysis, and stakeholder communications in Computer Science.",20
Blue Star,Social Work Intern,Agriculture,Digital Marketing,8,Indore,Madhya Pradesh,Indore,Dewas,452001,12th Pass,12th Pass,Computer Science Engineering,Hospitality Management Certificate,"Customer service, MS Office",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹12,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"As a Social Work Intern, you will support digital marketing tasks, perform data collection and reporting, and engage with team meetings.",16
Vodafone Idea,Lab Technician Intern,Technology,Graphic Design,9,Indore,Madhya Pradesh,Indore,Dewas,452001,12th Pass,BBA,Biotechnology,Leadership Training Certificate,"Laboratory techniques, safety",Only candidates with specified qualification (10th/12th/Diploma/UG) may apply.,"Stipend of ₹24,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","As a Lab Technician Intern, you will support graphic design tasks, perform data collection and reporting, and engage with team meetings.",8
NTPC,Hospitality Operations Intern,Hospitality,Social Work,6,Indore,Madhya Pradesh,Indore,Dewas,452001,Undergraduate,Bachelor of Design,Accounting,Leadership Training Certificate,"Laboratory techniques, safety",Open to candidates meeting minimum qualification; no postgraduates.,"Stipend of ₹10,000; travel reimbursement.",Mentorship program and soft skills training.,"As a Hospitality Operations Intern, you will support social work tasks, perform data collection and reporting, and engage with team meetings.",12
Vodafone Idea,Hospitality Operations Intern,Technology,Digital Marketing,3,Coimbatore,Tamil Nadu,Coimbatore,Pollachi,642001,12th Pass,B.E./B.Tech,Accounting,Data Analysis Certificate,"MATLAB, data analysis",Open to candidates meeting minimum qualification; no postgraduates.,"Stipend of ₹10,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"Join as Hospitality Operations Intern in the Digital Marketing department to assist in testing, documentation, and process improvements.",18
Swiggy,Content Writing Intern,Finance & Banking,Digital Marketing,5,Trichy,Tamil Nadu,Tiruchirappalli,Srirangam,620001,Undergraduate,Bachelor of Hotel Management,Hotel Management,Leadership Training Certificate,"Event planning, coordination",Candidates meeting the minimum qualification (10th/12th/Diploma/UG) eligible.,"Stipend of ₹26,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"As a Content Writing Intern, you will support digital marketing tasks, perform data collection and reporting, and engage with team meetings.",7
Zomato,Hospitality Operations Intern,Healthcare,Data Science,6,Indore,Madhya Pradesh,Indore,Dewas,452001,Diploma,BCA,Social Work,Hospitality Management Certificate,"Customer service, MS Office",Applicants with minimum qualification can apply; PGs excluded.,"Stipend of ₹27,000; travel reimbursement.",Mentorship program and soft skills training.,"In this Hospitality Operations Intern, you will participate in project cycles, data analysis, and stakeholder communications in Data Science.",17
LG Electronics India,Graphic Design Intern,Finance & Banking,Computer Science,5,Shimoga,Karnataka,Shimoga,Bhadravati,577301,Diploma,12th Pass,Social Work,Leadership Training Certificate,"Research, documentation",Open to candidates meeting minimum qualification; no postgraduates.,"Stipend of ₹20,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"This internship offers exposure to computer science, including research, design support, and presentation of findings.",17
Apple India,Digital Marketing Intern,Marketing & Media,Biotechnology,7,Dehradun,Uttarakhand,Dehradun,Mussoorie,248001,12th Pass,Bachelor of Journalism,Computer Science Engineering,Leadership Training Certificate,"Communication, teamwork",Applicants with minimum qualification can apply; PGs excluded.,"Stipend of ₹24,000; travel reimbursement.",Mentorship program and soft skills training.,"In this Digital Marketing Intern, you will participate in project cycles, data analysis, and stakeholder communications in Biotechnology.",12
Mindtree,Software Development Intern,Manufacturing,Digital Marketing,9,Indore,Madhya Pradesh,Indore,Dewas,452001,Undergraduate,Diploma,Digital Marketing,Hospitality Management Certificate,"Excel, problem-solving",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹13,000; travel reimbursement.",Mentorship program and soft skills training.,"As a Software Development Intern, you will support digital marketing tasks, perform data collection and reporting, and engage with team meetings.",8
UpGrad,Data Analyst Intern,Technology,Journalism & Mass Communication,8,Nashik,Maharashtra,Nashik,Sinnar,422113,10th Pass,B.Com,Mass Communication,Microsoft Office Specialist,"Content creation, social media",Only candidates with specified qualification (10th/12th/Diploma/UG) may apply.,"Stipend of ₹29,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"In this Data Analyst Intern, you will participate in project cycles, data analysis, and stakeholder communications in Journalism & Mass Communication.",13
Samsung India,Digital Marketing Intern,Education,Computer Science,9,Trichy,Tamil Nadu,Tiruchirappalli,Srirangam,620001,Diploma,Bachelor of Design,Digital Marketing,Adobe Certified Associate,"Laboratory techniques, safety",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹13,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","Join as Digital Marketing Intern in the Computer Science department to assist in testing, documentation, and process improvements.",5
Zomato,Digital Marketing Intern,Hospitality,Journalism & Mass Communication,8,Trichy,Tamil Nadu,Tiruchirappalli,Srirangam,620001,Diploma,Diploma,Accounting,Hospitality Management Certificate,"Laboratory techniques, safety",Only candidates with specified qualification (10th/12th/Diploma/UG) may apply.,"Stipend of ₹19,000; travel reimbursement.",Professional development sessions and certificate on completion.,"As a Digital Marketing Intern, you will support journalism & mass communication tasks, perform data collection and reporting, and engage with team meetings.",9
Paytm,Lab Technician Intern,NGO/Non-Profit,Human Resources,5,Shimoga,Karnataka,Shimoga,Bhadravati,577301,12th Pass,B.A.,Social Work,Hospitality Management Certificate,"Excel, problem-solving",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹10,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","The Lab Technician Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",10
Cisco Systems India,HR Intern,Healthcare,Computer Science,8,Kochi,Kerala,Ernakulam,Aluva,682001,Diploma,BCA,Graphic Design,Lab Safety Certificate,"Research, documentation",Applicants with minimum qualification can apply; PGs excluded.,"Stipend of ₹15,000; travel reimbursement.",Professional development sessions and certificate on completion.,"The HR Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",7
Infosys,Graphic Design Intern,Research,Finance & Accounting,8,Dausa,Rajasthan,Dausa,Lalsot,303511,10th Pass,B.A.,Hotel Management,Tally Certification,"Communication, teamwork",Open to candidates meeting minimum qualification; no postgraduates.,"Stipend of ₹15,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"In this Graphic Design Intern, you will participate in project cycles, data analysis, and stakeholder communications in Finance & Accounting.",10
ITC,Social Work Intern,Hospitality,Biotechnology,2,Coimbatore,Tamil Nadu,Coimbatore,Pollachi,642001,10th Pass,B.A.,Hotel Management,Microsoft Office Specialist,"Excel, problem-solving",Open to candidates meeting minimum qualification; no postgraduates.,"Stipend of ₹25,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"In this Social Work Intern, you will participate in project cycles, data analysis, and stakeholder communications in Biotechnology.",16
ITC,Software Development Intern,Hospitality,Human Resources,3,Kochi,Kerala,Ernakulam,Aluva,682001,10th Pass,Bachelor of Hotel Management,Digital Marketing,Google Analytics Certificate,"Communication, teamwork",Only candidates with specified qualification (10th/12th/Diploma/UG) may apply.,"Stipend of ₹26,000; travel reimbursement.",Mentorship program and soft skills training.,"The Software Development Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",13
Jio,HR Intern,Hospitality,Biotechnology,5,Mysore,Karnataka,Mysore,Mandya,570001,12th Pass,BCA,Computer Science Engineering,Python Programming Certificate,"Customer service, MS Office",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹18,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"In this HR Intern, you will participate in project cycles, data analysis, and stakeholder communications in Biotechnology.",9
ITC,Digital Marketing Intern,Education,Graphic Design,3,Dausa,Rajasthan,Dausa,Lalsot,303511,Undergraduate,Bachelor of Design,Mass Communication,Leadership Training Certificate,"Communication, teamwork",Candidates meeting the minimum qualification (10th/12th/Diploma/UG) eligible.,"Stipend of ₹27,000; travel reimbursement.",Professional development sessions and certificate on completion.,"The Digital Marketing Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",14
Cipla,HR Intern,Finance & Banking,Biotechnology,5,Kochi,Kerala,Ernakulam,Aluva,682001,12th Pass,BCA,Hotel Management,Leadership Training Certificate,"Photography, editing",Only candidates with specified qualification (10th/12th/Diploma/UG) may apply.,"Stipend of ₹26,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","As a HR Intern, you will support biotechnology tasks, perform data collection and reporting, and engage with team meetings.",17
NTPC,Software Development Intern,Healthcare,Journalism & Mass Communication,2,Indore,Madhya Pradesh,Indore,Dewas,452001,Diploma,Bachelor of Design,Hotel Management,Lab Safety Certificate,"Customer service, MS Office",Applicants with minimum qualification can apply; PGs excluded.,"Stipend of ₹17,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"The Software Development Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",7
Cognizant,Data Analyst Intern,Education,Social Work,10,Kochi,Kerala,Ernakulam,Aluva,682001,Undergraduate,12th Pass,Social Work,Tally Certification,"Laboratory techniques, safety",Only candidates with specified qualification (10th/12th/Diploma/UG) may apply.,"Stipend of ₹24,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","This internship offers exposure to social work, including research, design support, and presentation of findings.",6
Dabur,Social Work Intern,Manufacturing,Finance & Accounting,6,Dehradun,Uttarakhand,Dehradun,Mussoorie,248001,10th Pass,Bachelor of Hotel Management,Social Work,Lab Safety Certificate,"Photography, editing",Only candidates with specified qualification (10th/12th/Diploma/UG) may apply.,"Stipend of ₹10,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"Join as Social Work Intern in the Finance & Accounting department to assist in testing, documentation, and process improvements.",7
Urban Company,Social Work Intern,Marketing & Media,Human Resources,10,Dausa,Rajasthan,Dausa,Lalsot,303511,Undergraduate,B.Sc,Social Work,Communication Skills Certificate,"Excel, problem-solving",Applicants with minimum qualification can apply; PGs excluded.,"Stipend of ₹10,000; travel reimbursement.",Professional development sessions and certificate on completion.,"The Social Work Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",13
Flipkart,Digital Marketing Intern,Education,Computer Science,3,Coimbatore,Tamil Nadu,Coimbatore,Pollachi,642001,Undergraduate,B.A.,Hotel Management,Adobe Certified Associate,"Excel, problem-solving",Candidates meeting the minimum qualification (10th/12th/Diploma/UG) eligible.,"Stipend of ₹17,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","As a Digital Marketing Intern, you will support computer science tasks, perform data collection and reporting, and engage with team meetings.",13
Bajaj Auto,Graphic Design Intern,Healthcare,Finance & Accounting,9,Shimoga,Karnataka,Shimoga,Bhadravati,577301,Diploma,Diploma,Graphic Design,Tally Certification,"Photography, editing",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹18,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"The Graphic Design Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",18
Dell Technologies,Software Development Intern,Hospitality,Biotechnology,4,Dehradun,Uttarakhand,Dehradun,Mussoorie,248001,Undergraduate,12th Pass,Human Resource Management,Hospitality Management Certificate,"MATLAB, data analysis",Applicants with minimum qualification can apply; PGs excluded.,"Stipend of ₹13,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","This internship offers exposure to biotechnology, including research, design support, and presentation of findings.",14
Samsung India,Hospitality Operations Intern,Marketing & Media,Graphic Design,6,Nashik,Maharashtra,Nashik,Sinnar,422113,Diploma,B.Com,Mass Communication,Google Analytics Certificate,"Communication, teamwork",Applicants with minimum qualification can apply; PGs excluded.,"Stipend of ₹15,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"As a Hospitality Operations Intern, you will support graphic design tasks, perform data collection and reporting, and engage with team meetings.",13
Vodafone Idea,Graphic Design Intern,Manufacturing,Finance & Accounting,9,Dehradun,Uttarakhand,Dehradun,Mussoorie,248001,Diploma,Bachelor of Hotel Management,Digital Marketing,Communication Skills Certificate,"MATLAB, data analysis",Candidates meeting the minimum qualification (10th/12th/Diploma/UG) eligible.,"Stipend of ₹21,000; travel reimbursement.",Mentorship program and soft skills training.,"This internship offers exposure to finance & accounting, including research, design support, and presentation of findings.",7
Biocon,Digital Marketing Intern,Agriculture,Computer Science,10,Vizag,Andhra Pradesh,Visakhapatnam,Anakapalle,530001,Undergraduate,Bachelor of Design,Computer Science Engineering,Hospitality Management Certificate,"Photography, editing",Candidates meeting the minimum qualification (10th/12th/Diploma/UG) eligible.,"Stipend of ₹17,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","Join as Digital Marketing Intern in the Computer Science department to assist in testing, documentation, and process improvements.",10
Ola Cabs,Hospitality Operations Intern,Technology,Biotechnology,8,Dausa,Rajasthan,Dausa,Lalsot,303511,10th Pass,Bachelor of Hotel Management,Biotechnology,Google Analytics Certificate,"Research, documentation",Only candidates with specified qualification (10th/12th/Diploma/UG) may apply.,"Stipend of ₹20,000; travel reimbursement.",Mentorship program and soft skills training.,"As a Hospitality Operations Intern, you will support biotechnology tasks, perform data collection and reporting, and engage with team meetings.",16
Biocon,Data Analyst Intern,Marketing & Media,Graphic Design,10,Mysore,Karnataka,Mysore,Mandya,570001,Undergraduate,12th Pass,Graphic Design,Communication Skills Certificate,"Content creation, social media",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹23,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","Join as Data Analyst Intern in the Graphic Design department to assist in testing, documentation, and process improvements.",18
Myntra,Digital Marketing Intern,NGO/Non-Profit,Journalism & Mass Communication,4,Trichy,Tamil Nadu,Tiruchirappalli,Srirangam,620001,Diploma,B.A.,Social Work,Leadership Training Certificate,"Content creation, social media",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹13,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"This internship offers exposure to journalism & mass communication, including research, design support, and presentation of findings.",8
Reliance Industries,Data Analyst Intern,Finance & Banking,Computer Science,8,Mysore,Karnataka,Mysore,Mandya,570001,Undergraduate,Bachelor of Journalism,Accounting,Microsoft Office Specialist,"Laboratory techniques, safety",Candidates meeting the minimum qualification (10th/12th/Diploma/UG) eligible.,"Stipend of ₹25,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"Join as Data Analyst Intern in the Computer Science department to assist in testing, documentation, and process improvements.",8
Blue Star,Graphic Design Intern,Marketing & Media,Digital Marketing,7,Coimbatore,Tamil Nadu,Coimbatore,Pollachi,642001,Diploma,BCA,Mass Communication,Adobe Certified Associate,"AutoCAD, design",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹24,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","This internship offers exposure to digital marketing, including research, design support, and presentation of findings.",8
Zomato,Hospitality Operations Intern,Research,Biotechnology,7,Mysore,Karnataka,Mysore,Mandya,570001,10th Pass,BBA,Digital Marketing,Hospitality Management Certificate,"Communication, teamwork",Candidates meeting the minimum qualification (10th/12th/Diploma/UG) eligible.,"Stipend of ₹25,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"Join as Hospitality Operations Intern in the Biotechnology department to assist in testing, documentation, and process improvements.",16
Swiggy,Lab Technician Intern,Healthcare,Finance & Accounting,8,Dehradun,Uttarakhand,Dehradun,Mussoorie,248001,Undergraduate,12th Pass,Digital Marketing,Leadership Training Certificate,"Customer service, MS Office",Candidates meeting the minimum qualification (10th/12th/Diploma/UG) eligible.,"Stipend of ₹15,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"The Lab Technician Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",12
Cognizant,Content Writing Intern,Research,Social Work,5,Coimbatore,Tamil Nadu,Coimbatore,Pollachi,642001,10th Pass,B.Sc,Hotel Management,Adobe Certified Associate,"Communication, teamwork",Applicants with minimum qualification can apply; PGs excluded.,"Stipend of ₹26,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"Join as Content Writing Intern in the Social Work department to assist in testing, documentation, and process improvements.",9
Tata Power,Lab Technician Intern,Marketing & Media,Human Resources,10,Kochi,Kerala,Ernakulam,Aluva,682001,Undergraduate,12th Pass,Business Analytics,Adobe Certified Associate,"Event planning, coordination",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹12,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"As a Lab Technician Intern, you will support human resources tasks, perform data collection and reporting, and engage with team meetings.",16
Mahindra & Mahindra,Finance Analyst Intern,Healthcare,Digital Marketing,8,Trichy,Tamil Nadu,Tiruchirappalli,Srirangam,620001,Undergraduate,BCA,Human Resource Management,Google Analytics Certificate,"Excel, problem-solving",Open to candidates meeting minimum qualification; no postgraduates.,"Stipend of ₹13,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"As a Finance Analyst Intern, you will support digital marketing tasks, perform data collection and reporting, and engage with team meetings.",11
NTPC,Content Writing Intern,Research,Finance & Accounting,9,Mysore,Karnataka,Mysore,Mandya,570001,Diploma,BCA,Hotel Management,Adobe Certified Associate,"AutoCAD, design",Candidates meeting the minimum qualification (10th/12th/Diploma/UG) eligible.,"Stipend of ₹5,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"In this Content Writing Intern, you will participate in project cycles, data analysis, and stakeholder communications in Finance & Accounting.",7
Vodafone Idea,Social Work Intern,Agriculture,Graphic Design,3,Nashik,Maharashtra,Nashik,Sinnar,422113,10th Pass,12th Pass,Computer Science Engineering,Adobe Certified Associate,"Customer service, MS Office",Open to candidates meeting minimum qualification; no postgraduates.,"Stipend of ₹27,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"In this Social Work Intern, you will participate in project cycles, data analysis, and stakeholder communications in Graphic Design.",13
ITC,Content Writing Intern,NGO/Non-Profit,Finance & Accounting,6,Shimoga,Karnataka,Shimoga,Bhadravati,577301,Undergraduate,B.Com,Graphic Design,Google Analytics Certificate,"Photography, editing",Only candidates with specified qualification (10th/12th/Diploma/UG) may apply.,"Stipend of ₹7,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"As a Content Writing Intern, you will support finance & accounting tasks, perform data collection and reporting, and engage with team meetings.",11
Amazon India,Data Analyst Intern,Education,Human Resources,5,Trichy,Tamil Nadu,Tiruchirappalli,Srirangam,620001,Undergraduate,10th Pass,Mass Communication,Tally Certification,"Communication, teamwork",Open to candidates meeting minimum qualification; no postgraduates.,"Stipend of ₹16,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"As a Data Analyst Intern, you will support human resources tasks, perform data collection and reporting, and engage with team meetings.",15
Bharat Petroleum,Hospitality Operations Intern,Research,Human Resources,5,Coimbatore,Tamil Nadu,Coimbatore,Pollachi,642001,Undergraduate,Bachelor of Hotel Management,Human Resource Management,Communication Skills Certificate,"Customer service, MS Office",Applicants with minimum qualification can apply; PGs excluded.,"Stipend of ₹12,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"The Hospitality Operations Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",17
Myntra,Digital Marketing Intern,Manufacturing,Graphic Design,6,Trichy,Tamil Nadu,Tiruchirappalli,Srirangam,620001,Undergraduate,12th Pass,Human Resource Management,Lab Safety Certificate,"Event planning, coordination",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹25,000; travel reimbursement.",Professional development sessions and certificate on completion.,"Join as Digital Marketing Intern in the Graphic Design department to assist in testing, documentation, and process improvements.",17
Hero MotoCorp,Content Writing Intern,Finance & Banking,Human Resources,4,Kochi,Kerala,Ernakulam,Aluva,682001,Diploma,Bachelor of Hotel Management,Computer Science Engineering,Leadership Training Certificate,"Content creation, social media",Open to candidates meeting minimum qualification; no postgraduates.,"Stipend of ₹28,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"In this Content Writing Intern, you will participate in project cycles, data analysis, and stakeholder communications in Human Resources.",19
